256	10
Fp1	Fp2	F3	F4	F7	F8	Fz	C3	C4	Cz	T3	T5	T4	T6	P3	P4	Pz	O1	O2
-22.7120088654917	-25.5572810803388	-23.715321544213	-24.8871294819562	-20.3683929900053	-24.3854731425956	-22.8805041245136	-22.7120088654917	-24.7186342229343	-25.8904421606775	-21.7086961867704	-18.6987581506066	-21.7086961867704	-23.2136652048524	-22.378847785153	-23.5506557228962	-21.7086961867704	-21.0385445883879	-23.8838168032349
-12.6750526405737	-18.028606552224	-14.5131827389944	-16.6883033554589	-7.82315506828412	-16.0219811947814	-12.8397184618906	-12.5065573815518	-16.3551422751202	-18.6987581506066	-10.3314367650874	-4.64472177309834	-10.4999320241093	-13.5098700602731	-11.8364057831693	-14.3485169176776	-10.833093104448	-9.32812408636606	-15.0148390783551
-15.183334337377	-19.8667366506447	-16.6883033554589	-18.6987581506066	-10.833093104448	-18.028606552224	-15.183334337377	-15.0148390783551	-18.3617676325627	-20.3683929900053	-13.1767089799344	-8.15631614862288	-13.1767089799344	-15.8534859357595	-14.3485169176776	-16.5236375341421	-13.5098700602731	-12.1733963012131	-17.0252938735027
-13.8468605783169	-18.8634239719234	-15.5164954177157	-17.5269502128634	-9.32812408636606	-17.0252938735027	-14.0115263996338	-13.678365319295	-17.1899596948196	-19.5335755703059	-11.6717399618524	-6.31818605020219	-11.8364057831693	-14.6816779980163	-13.0082137209125	-15.3518295963989	-12.0049010421912	-10.6645978454261	-16.0219811947814
-14.5131827389944	-19.5335755703059	-16.1866470160983	-18.1971018112459	-10.1629415060655	-17.6916160341802	-14.6816779980163	-14.5131827389944	-18.028606552224	-20.0352319096666	-12.5065573815518	-7.48616455024033	-12.8397184618906	-15.5164954177157	-13.8468605783169	-16.0219811947814	-13.0082137209125	-11.6717399618524	-16.5236375341421
-14.0115263996338	-19.2004144899672	-15.8534859357595	-17.8601112932021	-9.66128516670481	-17.1899596948196	-14.1800216586557	-14.0115263996338	-17.5269502128634	-19.7020708293278	-12.0049010421912	-6.81984238956282	-12.0049010421912	-14.8501732570382	-13.1767089799344	-15.5164954177157	-12.3380621225299	-11.0015883634699	-16.0219811947814
-14.3485169176776	-19.365080311284	-16.1866470160983	-18.1971018112459	-10.1629415060655	-17.5269502128634	-14.5131827389944	-14.3485169176776	-17.6916160341802	-20.0352319096666	-12.5065573815518	-7.32149872892347	-12.5065573815518	-15.183334337377	-13.678365319295	-16.0219811947814	-12.6750526405737	-11.3347494438086	-16.5236375341421
-14.1800216586557	-19.2004144899672	-15.8534859357595	-17.8601112932021	-9.82978042572671	-17.3584549538415	-14.3485169176776	-14.0115263996338	-17.5269502128634	-19.8667366506447	-12.1733963012131	-6.98450821087968	-12.3380621225299	-15.0148390783551	-13.3452042389563	-15.6849906767376	-12.5065573815518	-11.1700836224918	-16.3551422751202
-14.3485169176776	-19.365080311284	-16.0219811947814	-18.028606552224	-9.99827568474861	-17.5269502128634	-14.3485169176776	-14.3485169176776	-17.6916160341802	-19.8667366506447	-12.3380621225299	-7.15300346990158	-12.5065573815518	-15.183334337377	-13.5098700602731	-15.8534859357595	-12.6750526405737	-11.3347494438086	-16.3551422751202
-14.1800216586557	-19.2004144899672	-16.0219811947814	-18.028606552224	-9.82978042572671	-17.3584549538415	-14.3485169176776	-14.1800216586557	-17.6916160341802	-19.8667366506447	-12.3380621225299	-6.98450821087968	-12.3380621225299	-15.183334337377	-13.5098700602731	-15.6849906767376	-12.5065573815518	-11.3347494438086	-16.3551422751202
